2020-12-05 14:36:33.168679||meta||agents||4
2020-12-05 14:36:33.168759||meta||treatnames||A (men's search)@|B (women's search)
2020-12-05 14:36:33.169071||meta||block_id start||0
2020-12-05 14:36:33.169105||meta||assignment||3@|1@|0@|2
2020-12-05 14:37:00.851662||event||progress-marker||training-start||2||1
2020-12-05 14:37:05.603547||event||progress-marker||training-start||0||1
2020-12-05 14:37:06.132003||event||progress-marker||training-start||3||0
2020-12-05 14:37:06.218993||event||progress-marker||training-start||1||0
2020-12-05 14:37:11.923347||treatment||google search||clothes||2||1
2020-12-05 14:37:12.142911||error||visiting||google searchresults||2||1
2020-12-05 14:37:17.871424||treatment||google search||clothes||0||1
2020-12-05 14:37:18.028884||error||visiting||google searchresults||0||1
2020-12-05 14:37:18.292242||treatment||google search||men's clothes||1||0
2020-12-05 14:37:18.475717||error||visiting||google searchresults||1||0
2020-12-05 14:37:18.881190||treatment||google search||men's clothes||3||0
2020-12-05 14:37:19.033386||error||visiting||google searchresults||3||0
2020-12-05 14:37:44.081771||treatment||visit page||https://www.thetrendspotter.net/best-online-clothing-stores-for-men/||1||0
2020-12-05 14:37:44.348779||treatment||visit page||https://www.thetrendspotter.net/best-online-clothing-stores-for-men/||3||0
2020-12-05 14:37:58.446944||error||visiting||google searchresults||1||0
2020-12-05 14:37:59.417497||error||visiting||google searchresults||3||0
2020-12-05 14:38:03.220298||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||2||1
2020-12-05 14:38:06.546828||error||visiting||google searchresults||1||0
2020-12-05 14:38:07.493635||error||visiting||google searchresults||3||0
2020-12-05 14:38:09.346485||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||0||1
2020-12-05 14:38:14.627966||error||visiting||google searchresults||1||0
2020-12-05 14:38:15.564597||error||visiting||google searchresults||3||0
2020-12-05 14:38:19.131331||treatment||visit page||https://www.missguidedus.com/clothing||2||1
2020-12-05 14:38:24.515908||treatment||visit page||https://www.missguidedus.com/clothing||0||1
2020-12-05 14:38:32.110418||treatment||google search||leather belts||1||0
2020-12-05 14:38:32.289285||error||visiting||google searchresults||1||0
2020-12-05 14:38:34.399803||treatment||google search||leather belts||3||0
2020-12-05 14:38:34.560026||error||visiting||google searchresults||3||0
2020-12-05 14:38:43.086723||treatment||visit page||https://www.kohls.com/sale-event/womens-clothing.jsp||2||1
