2020-12-11 09:08:09.308734||meta||agents||4
2020-12-11 09:08:09.308808||meta||treatnames||A (men's search)@|B (women's search)
2020-12-11 09:08:09.309146||meta||block_id start||0
2020-12-11 09:08:09.309164||meta||assignment||2@|0@|3@|1
2020-12-11 09:08:36.773474||event||progress-marker||training-start||2||0
2020-12-11 09:08:40.986312||event||progress-marker||training-start||1||1
2020-12-11 09:08:41.919838||event||progress-marker||training-start||0||0
2020-12-11 09:08:42.070838||event||progress-marker||training-start||3||1
2020-12-11 09:08:48.135925||treatment||google search||men's clothes||2||0
2020-12-11 09:08:48.302367||error||visiting||google searchresults||2||0
2020-12-11 09:08:49.343841||treatment||google search||women's clothes||1||1
2020-12-11 09:08:49.741177||error||visiting||google searchresults||1||1
2020-12-11 09:08:56.387617||treatment||google search||men's clothes||0||0
2020-12-11 09:08:56.523377||treatment||google search||women's clothes||3||1
2020-12-11 09:08:56.645998||error||visiting||google searchresults||0||0
2020-12-11 09:08:56.692652||error||visiting||google searchresults||3||1
2020-12-11 09:09:00.303043||error||visiting||google searchresults||2||0
2020-12-11 09:09:05.986349||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm||1||1
2020-12-11 09:09:06.485882||error||visiting||google searchresults||0||0
2020-12-11 09:09:08.381865||error||visiting||google searchresults||2||0
2020-12-11 09:09:15.470431||error||visiting||google searchresults||0||0
2020-12-11 09:09:16.449848||error||visiting||google searchresults||2||0
2020-12-11 09:09:22.549179||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||3||1
2020-12-11 09:09:23.530578||error||visiting||google searchresults||0||0
2020-12-11 09:09:24.485934||error||visiting||google searchresults||2||0
2020-12-11 09:09:31.620475||error||visiting||google searchresults||0||0
2020-12-11 09:09:31.823339||error||visiting||google searchresults||3||1
2020-12-11 09:09:37.494733||treatment||google search||men's belts||2||0
2020-12-11 09:09:37.623553||error||visiting||google searchresults||2||0
2020-12-11 09:09:39.875824||error||visiting||google searchresults||3||1
2020-12-11 09:09:46.948993||treatment||visit page||https://www.urbanoutfitters.com/womens-clothing||1||1
2020-12-11 09:09:46.980698||treatment||google search||men's belts||0||0
2020-12-11 09:09:47.143730||error||visiting||google searchresults||0||0
2020-12-11 09:09:47.993422||error||visiting||google searchresults||3||1
2020-12-11 09:10:03.702685||treatment||visit page||https://www.kohls.com/catalog/mens-belts-accessories.jsp?CN=Gender:Mens+Product:Belts+Department:Accessories||2||0
2020-12-11 09:10:05.415382||treatment||google search||women's belts||3||1
2020-12-11 09:10:05.793582||error||visiting||google searchresults||3||1
2020-12-11 09:10:12.014685||treatment||visit page||https://www.express.com/womens-clothing||1||1
2020-12-11 09:10:12.901608||treatment||visit page||https://www.kohls.com/catalog/mens-belts-accessories.jsp?CN=Gender:Mens+Product:Belts+Department:Accessories||0||0
2020-12-11 09:10:29.496540||treatment||visit page||https://www.google.com/search?source=hp&ei=xYvTX4S-B4vVtAaU7rr4CQ&q=women%27s+belts&oq=women%27s+belts&gs_lcp=CgZwc3ktYWIQA1AAWABgjg5oAHAAeACAAQCIAQCSAQCYAQCqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjEtOL7msbtAhWLKs0KHRS3Dp8Q4dUDCAg&uact=5||3||1
2020-12-11 09:10:36.766609||treatment||visit page||https://www.duluthtrading.com/men/accessories/belts/||2||0
2020-12-11 09:10:45.132548||error||visiting||google searchresults||3||1
2020-12-11 09:10:45.145845||treatment||visit page||https://www.duluthtrading.com/men/accessories/belts/||0||0
2020-12-11 09:10:53.174808||error||visiting||google searchresults||3||1
2020-12-11 09:10:53.491288||treatment||visit page||https://www.macys.com/shop/womens-clothing?id=118||1||1
2020-12-11 09:11:00.234997||error||visiting||google searchresults||2||0
2020-12-11 09:11:01.197743||error||visiting||google searchresults||3||1
2020-12-11 09:11:05.470163||error||visiting||google searchresults||0||0
2020-12-11 09:11:08.304840||error||visiting||google searchresults||2||0
2020-12-11 09:11:11.352217||treatment||google search||women's belts||1||1
2020-12-11 09:11:11.445207||error||visiting||google searchresults||1||1
2020-12-11 09:11:13.563420||error||visiting||google searchresults||0||0
2020-12-11 09:11:13.685562||treatment||google search||shampoo for women||3||1
2020-12-11 09:11:13.754213||error||visiting||google searchresults||3||1
2020-12-11 09:11:21.955921||treatment||google search||shampoo for men||2||0
2020-12-11 09:11:22.160117||error||visiting||google searchresults||2||0
2020-12-11 09:11:29.501976||treatment||google search||shampoo for men||0||0
2020-12-11 09:11:29.774498||error||visiting||google searchresults||0||0
2020-12-11 09:11:32.763003||treatment||visit page||https://www.goodhousekeeping.com/beauty-products/g32715498/best-shampoos-brands/||3||1
2020-12-11 09:11:41.673979||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||2||0
2020-12-11 09:11:51.495737||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||0||0
2020-12-11 09:11:58.960688||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||3||1
2020-12-11 09:12:05.139665||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||2||0
2020-12-11 09:12:07.549954||treatment||visit page||https://www.target.com/c/belts-women-s-accessories/-/N-56dbk?Nao=0||1||1
2020-12-11 09:12:26.071162||error||visiting||google searchresults||1||1
2020-12-11 09:12:26.612311||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||0||0
2020-12-11 09:12:30.616613||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||3||1
2020-12-11 09:12:40.476413||error||visiting||google searchresults||1||1
2020-12-11 09:12:50.060839||error||visiting||google searchresults||1||1
2020-12-11 09:12:51.946188||treatment||visit page||https://www.marieclaire.com/beauty/g25096473/best-shampoo-and-conditioner-reviews/||3||1
2020-12-11 09:12:57.448350||treatment||visit page||https://www.ulta.com/men-hair-shampoo?N=26zw||2||0
2020-12-11 09:13:10.545987||treatment||google search||shampoo for women||1||1
2020-12-11 09:13:10.762197||error||visiting||google searchresults||1||1
2020-12-11 09:13:16.415574||treatment||visit page||https://www.ulta.com/men-hair-shampoo?N=26zw||0||0
2020-12-11 09:13:21.625098||treatment||google search||women's shaving kit||3||1
2020-12-11 09:13:21.832967||error||visiting||google searchresults||3||1
2020-12-11 09:13:33.060271||treatment||visit page||https://www.goodhousekeeping.com/beauty-products/g32715498/best-shampoos-brands/||1||1
2020-12-11 09:13:40.860634||treatment||visit page||https://www.etsy.com/market/shaving_kit_women||3||1
2020-12-11 09:13:50.736396||treatment||visit page||https://www.esquire.com/style/grooming/g19504376/best-shampoos-men/||2||0
2020-12-11 09:14:02.631416||treatment||visit page||https://www.esquire.com/style/grooming/g19504376/best-shampoos-men/||0||0
2020-12-11 09:14:09.071409||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||1||1
2020-12-11 09:14:23.723774||treatment||visit page||https://www.shopflamingo.com/products/shave-kit/||3||1
2020-12-11 09:14:33.791759||treatment||google search||men's shaving kits||2||0
2020-12-11 09:14:34.109959||error||visiting||google searchresults||2||0
2020-12-11 09:14:35.046830||treatment||google search||men's shaving kits||0||0
2020-12-11 09:14:35.485733||error||visiting||google searchresults||0||0
2020-12-11 09:14:42.849018||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||1||1
2020-12-11 09:14:53.892856||treatment||visit page||https://www.google.com/search?source=hp&ei=zYzTX7SkD8vKtQbrz5LYCQ&q=men%27s+shaving+kits&oq=men%27s+shaving+kits&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgUIABDJA1DsD1jnF2DDKWgAcAB4AIABrA2IAc0pkgEHNi0xLjEuMpgBAKABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwj0vtv5m8btAhVLZc0KHeunBJsQ4dUDCAg&uact=5||2||0
