2020-12-07 20:37:26.496574||meta||agents||4
2020-12-07 20:37:26.496618||meta||treatnames||A (men's search)@|B (women's search)
2020-12-07 20:37:26.497092||meta||block_id start||0
2020-12-07 20:37:26.497111||meta||assignment||2@|0@|1@|3
2020-12-07 20:37:57.673092||event||progress-marker||training-start||0||0
2020-12-07 20:38:01.185389||event||progress-marker||training-start||3||1
2020-12-07 20:38:01.685655||event||progress-marker||training-start||2||0
2020-12-07 20:38:01.768033||event||progress-marker||training-start||1||1
2020-12-07 20:38:10.578149||treatment||google search||men's clothes||0||0
2020-12-07 20:38:10.835569||error||visiting||google searchresults||0||0
2020-12-07 20:38:12.708114||treatment||google search||clothes||3||1
2020-12-07 20:38:12.848054||error||visiting||google searchresults||3||1
2020-12-07 20:38:13.432855||treatment||google search||clothes||1||1
2020-12-07 20:38:13.576918||error||visiting||google searchresults||1||1
2020-12-07 20:38:13.955638||treatment||google search||men's clothes||2||0
2020-12-07 20:38:14.088716||error||visiting||google searchresults||2||0
2020-12-07 20:38:24.429464||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||0||0
2020-12-07 20:38:34.242036||treatment||visit page||https://www.asos.com/us/women/||1||1
2020-12-07 20:38:39.219253||error||visiting||google searchresults||0||0
2020-12-07 20:38:42.080491||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||2||0
2020-12-07 20:38:44.085971||treatment||visit page||https://www.asos.com/us/women/||3||1
2020-12-07 20:38:47.632409||error||visiting||google searchresults||0||0
2020-12-07 20:38:54.775180||error||visiting||google searchresults||2||0
2020-12-07 20:38:55.722189||error||visiting||google searchresults||0||0
2020-12-07 20:39:02.854803||error||visiting||google searchresults||2||0
2020-12-07 20:39:04.116160||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||1||1
2020-12-07 20:39:09.821889||treatment||google search||leather belts||0||0
2020-12-07 20:39:09.945567||error||visiting||google searchresults||0||0
2020-12-07 20:39:10.923152||error||visiting||google searchresults||2||0
2020-12-07 20:39:13.746855||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||3||1
2020-12-07 20:39:27.255425||treatment||google search||leather belts||2||0
2020-12-07 20:39:27.420207||error||visiting||google searchresults||2||0
2020-12-07 20:39:40.864209||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm||1||1
2020-12-07 20:39:42.908690||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||0||0
2020-12-07 20:39:43.155404||treatment||visit page||https://www.google.com/search?source=hp&ei=V-fOX97UCLWD9PwP7bG5iAg&q=leather+belts&oq=leather+belts&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMggIABCxAxCDATIFCAAQyQMyAggAMgIIADICCAAyAggAMgIIADICCAA6BQgAELEDUPkTWLsYYLkhaABwAHgAgAGCB4gBixSSAQkyLTEuNS0xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwie3OXLrb3tAhW1AZ0JHe1YDoEQ4dUDCAg&uact=5||2||0
2020-12-07 20:39:47.182296||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm||3||1
2020-12-07 20:39:53.275653||error||visiting||google searchresults||2||0
2020-12-07 20:40:01.292724||error||visiting||google searchresults||2||0
2020-12-07 20:40:09.328317||error||visiting||google searchresults||2||0
2020-12-07 20:40:11.407182||treatment||visit page||https://www.belts.com/mens-belts.html||0||0
2020-12-07 20:40:13.809624||treatment||visit page||https://www.kohls.com/sale-event/womens-clothing.jsp||1||1
2020-12-07 20:40:14.752630||treatment||visit page||https://www.kohls.com/sale-event/womens-clothing.jsp||3||1
2020-12-07 20:40:22.392098||treatment||google search||shampoo for dudes||2||0
2020-12-07 20:40:22.532538||error||visiting||google searchresults||2||0
2020-12-07 20:40:32.955970||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||0||0
2020-12-07 20:40:34.272672||treatment||google search||gold belts||1||1
2020-12-07 20:40:34.556315||error||visiting||google searchresults||1||1
2020-12-07 20:40:36.251423||treatment||google search||gold belts||3||1
2020-12-07 20:40:36.373818||error||visiting||google searchresults||3||1
2020-12-07 20:40:44.977300||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||2||0
2020-12-07 20:40:54.996561||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||0||0
2020-12-07 20:41:04.718678||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||2||0
2020-12-07 20:41:15.739756||treatment||visit page||https://www.target.com/s/womens+gold+belts?Nao=0||3||1
2020-12-07 20:41:24.466324||treatment||google search||shampoo for dudes||0||0
2020-12-07 20:41:24.531563||error||visiting||google searchresults||0||0
2020-12-07 20:41:27.309101||treatment||visit page||https://www.target.com/s/womens+gold+belts?Nao=0||1||1
2020-12-07 20:41:33.639982||error||visiting||google searchresults||3||1
2020-12-07 20:41:40.113274||error||visiting||google searchresults||1||1
2020-12-07 20:41:41.727577||treatment||visit page||https://www.forbes.com/sites/forbes-personal-shopper/2020/06/22/best-shampoo-for-men-by-hair-type/?sh=2449b2c834b3||2||0
2020-12-07 20:41:45.061288||error||visiting||google searchresults||3||1
2020-12-07 20:41:45.149003||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||0||0
2020-12-07 20:41:51.722099||error||visiting||google searchresults||1||1
2020-12-07 20:41:54.330825||error||visiting||google searchresults||3||1
2020-12-07 20:42:00.750451||error||visiting||google searchresults||1||1
2020-12-07 20:42:07.080018||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||0||0
2020-12-07 20:42:12.028695||treatment||visit page||https://www.esquire.com/style/grooming/g19504376/best-shampoos-men/||2||0
2020-12-07 20:42:18.391716||treatment||google search||shampoo for women||3||1
2020-12-07 20:42:19.248775||error||visiting||google searchresults||3||1
2020-12-07 20:42:24.939943||treatment||google search||shampoo for women||1||1
2020-12-07 20:42:25.162999||error||visiting||google searchresults||1||1
2020-12-07 20:42:36.782383||treatment||google search||beard shaving kit||2||0
2020-12-07 20:42:37.046830||error||visiting||google searchresults||2||0
