2020-12-05 22:35:15.339208||meta||agents||4
2020-12-05 22:35:15.339263||meta||treatnames||A (men's search)@|B (women's search)
2020-12-05 22:35:15.339480||meta||block_id start||0
2020-12-05 22:35:15.339493||meta||assignment||0@|1@|3@|2
2020-12-05 22:35:47.987416||event||progress-marker||training-start||1||0
2020-12-05 22:35:48.208930||event||progress-marker||training-start||2||1
2020-12-05 22:35:48.218885||event||progress-marker||training-start||3||1
2020-12-05 22:35:48.404403||event||progress-marker||training-start||0||0
2020-12-05 22:35:54.159308||treatment||google search||men's clothes||1||0
2020-12-05 22:35:55.543912||error||visiting||google searchresults||1||0
2020-12-05 22:35:59.877196||treatment||google search||clothes||3||1
2020-12-05 22:36:00.015800||error||visiting||google searchresults||3||1
2020-12-05 22:36:00.194546||treatment||google search||clothes||2||1
2020-12-05 22:36:00.405015||error||visiting||google searchresults||2||1
2020-12-05 22:36:01.124862||treatment||google search||men's clothes||0||0
2020-12-05 22:36:01.275184||error||visiting||google searchresults||0||0
2020-12-05 22:36:14.222785||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||1||0
2020-12-05 22:36:28.983076||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||0||0
2020-12-05 22:36:29.692504||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||2||1
2020-12-05 22:36:31.939473||error||visiting||google searchresults||1||0
2020-12-05 22:36:34.076924||treatment||visit page||https://www.asos.com/us/||3||1
2020-12-05 22:36:40.005573||error||visiting||google searchresults||1||0
2020-12-05 22:36:42.607987||error||visiting||google searchresults||0||0
2020-12-05 22:36:48.086803||error||visiting||google searchresults||1||0
2020-12-05 22:36:50.690301||error||visiting||google searchresults||0||0
2020-12-05 22:36:57.420312||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||2||1
2020-12-05 22:36:58.860988||error||visiting||google searchresults||0||0
2020-12-05 22:37:00.794652||treatment||google search||leather belts||1||0
2020-12-05 22:37:00.856518||error||visiting||google searchresults||1||0
2020-12-05 22:37:01.080747||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||3||1
2020-12-05 22:37:13.859504||treatment||google search||leather belts||0||0
2020-12-05 22:37:14.078854||error||visiting||google searchresults||0||0
2020-12-05 22:37:31.265067||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||1||0
2020-12-05 22:37:32.941085||treatment||visit page||https://www.asos.com/us/||2||1
2020-12-05 22:37:34.903268||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||0||0
