2020-12-04 09:57:05.747611||meta||agents||4
2020-12-04 09:57:05.747736||meta||treatnames||A (men's search)@|B (women's search)
2020-12-04 09:57:05.748158||meta||block_id start||0
2020-12-04 09:57:05.748184||meta||assignment||2@|1@|3@|0
2020-12-04 09:57:37.954833||event||progress-marker||training-start||0||1
2020-12-04 09:57:41.447569||event||progress-marker||training-start||1||0
2020-12-04 09:57:42.000674||event||progress-marker||training-start||2||0
2020-12-04 09:57:43.275950||event||progress-marker||training-start||3||1
2020-12-04 09:57:48.523715||treatment||google search||clothes||3||1
2020-12-04 09:57:49.229728||treatment||google search||men's clothes||2||0
2020-12-04 09:57:49.733993||treatment||google search||clothes||0||1
2020-12-04 09:57:49.902219||error||visiting||google searchresults||0||1
2020-12-04 09:57:50.176668||error||visiting||google searchresults||2||0
2020-12-04 09:57:50.338858||error||visiting||google searchresults||3||1
2020-12-04 09:57:53.615252||treatment||google search||men's clothes||1||0
2020-12-04 09:57:53.851883||error||visiting||google searchresults||1||0
2020-12-04 09:58:13.822880||treatment||visit page||https://www.asos.com/us/women/||3||1
2020-12-04 09:58:14.644204||treatment||visit page||https://www.google.com/search?source=hp&ei=dlzKX8-kCYm2tAbSvoK4Cg&q=men%27s+clothes&oq=men%27s+clothes&gs_lcp=CgZwc3ktYWIQAzIFCAAQsQMyBQgAEMkDMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6CAgAELEDEIMBUIMUWLUbYLIoaABwAHgAgAG6CYgBxRuSAQkzLTEuNi0xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjPt-fK2LTtAhUJG80KHVKfAKcQ4dUDCAg&uact=5||1||0
2020-12-04 09:58:25.960045||error||visiting||google searchresults||1||0
2020-12-04 09:58:28.129725||treatment||visit page||https://www.asos.com/us/men/||2||0
2020-12-04 09:58:28.494206||treatment||visit page||https://www.asos.com/us/women/||0||1
2020-12-04 09:58:34.024509||error||visiting||google searchresults||1||0
2020-12-04 09:58:42.042881||error||visiting||google searchresults||1||0
2020-12-04 09:58:56.520938||treatment||visit page||https://www.missguidedus.com/clothing||3||1
2020-12-04 09:58:57.519062||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||2||0
2020-12-04 09:59:01.352711||treatment||google search||leather belts||1||0
2020-12-04 09:59:01.418049||error||visiting||google searchresults||1||0
2020-12-04 09:59:08.487609||treatment||visit page||https://www.missguidedus.com/clothing||0||1
2020-12-04 09:59:14.666729||error||visiting||google searchresults||2||0
2020-12-04 09:59:20.065635||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm||3||1
2020-12-04 09:59:20.374300||treatment||visit page||https://www.google.com/search?source=hp&ei=ulzKX5aAGJLStQbXqrbADg&q=leather+belts&oq=leather+belts&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgUIABDJAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6BQgAELEDUJQdWLMmYN8yaABwAHgAgAHfCYgBvRySAQk0LTEuMC4xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwiWxazr2LTtAhUSac0KHVeVDegQ4dUDCAg&uact=5||1||0
2020-12-04 09:59:23.179548||error||visiting||google searchresults||2||0
2020-12-04 09:59:34.194610||error||visiting||google searchresults||1||0
2020-12-04 09:59:41.331416||treatment||google search||leather belts||2||0
2020-12-04 09:59:41.452588||error||visiting||google searchresults||2||0
2020-12-04 09:59:42.216021||error||visiting||google searchresults||1||0
2020-12-04 09:59:45.741169||treatment||visit page||https://www.kohls.com/sale-event/womens-clothing.jsp||3||1
2020-12-04 09:59:50.232082||error||visiting||google searchresults||1||0
2020-12-04 09:59:53.129082||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||0||1
2020-12-04 10:00:01.110710||treatment||google search||gold belts||3||1
2020-12-04 10:00:01.167191||error||visiting||google searchresults||3||1
2020-12-04 10:00:05.400641||error||visiting||google searchresults||0||1
2020-12-04 10:00:09.348602||treatment||google search||shampoo for dudes||1||0
2020-12-04 10:00:09.435411||error||visiting||google searchresults||1||0
2020-12-04 10:00:10.347523||treatment||visit page||https://www.google.com/search?source=hp&ei=41zKX4S4FsSwtAbYnYrYCg&q=leather+belts&oq=leather+belts&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgUIABDJAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6BQgAELEDUPQUWJ4ZYIEhaABwAHgAgAGtBogB3xKSAQkyLTEuNS0xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjEtfH-2LTtAhVEGM0KHdiOAqsQ4dUDCAg&uact=5||2||0
2020-12-04 10:00:20.042277||error||visiting||google searchresults||2||0
2020-12-04 10:00:26.978813||treatment||visit page||https://www.google.com/search?source=hp&ei=_1zKX5GgKcLOtQaMi7GYBQ&q=shampoo+for+dudes&oq=shampoo+for+dudes&gs_lcp=CgZwc3ktYWIQAzIFCAAQzQIyBQgAEM0COgUIABDJAzoCCAA6BAgAEAo6CQgAEMkDEBYQHjoGCAAQFhAeUPsaWJ8gYJglaABwAHgAgAG5A4gBwAuSAQcyLTEuMS4ymAEAoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwjRm7GM2bTtAhVCZ80KHYxFDFMQ4dUDCAg&uact=5||1||0
2020-12-04 10:00:28.088657||error||visiting||google searchresults||2||0
2020-12-04 10:00:29.429396||treatment||google search||gold belts||0||1
2020-12-04 10:00:29.541314||error||visiting||google searchresults||0||1
2020-12-04 10:00:32.475017||treatment||visit page||https://www.target.com/c/belts-women-s-accessories/gold/-/N-56dbkZgup4zc5xkto?Nao=0||3||1
2020-12-04 10:00:36.128237||error||visiting||google searchresults||2||0
2020-12-04 10:00:43.140709||error||visiting||google searchresults||3||1
2020-12-04 10:00:46.743331||error||visiting||google searchresults||1||0
2020-12-04 10:00:47.388670||treatment||visit page||https://www.target.com/c/belts-women-s-accessories/gold/-/N-56dbkZgup4zc5xkto||0||1
2020-12-04 10:00:50.579377||treatment||google search||shampoo for dudes||2||0
2020-12-04 10:00:50.723379||error||visiting||google searchresults||2||0
2020-12-04 10:00:53.368257||error||visiting||google searchresults||3||1
2020-12-04 10:00:54.759394||error||visiting||google searchresults||1||0
2020-12-04 10:01:02.780732||error||visiting||google searchresults||1||0
2020-12-04 10:01:05.144328||error||visiting||google searchresults||3||1
2020-12-04 10:01:11.535773||treatment||visit page||https://www.target.com/s/womens+gold+belts||0||1
2020-12-04 10:01:18.640385||treatment||google search||beard shaving kit||1||0
2020-12-04 10:01:18.959499||error||visiting||google searchresults||1||0
2020-12-04 10:01:25.403140||treatment||google search||shampoo for women||3||1
2020-12-04 10:01:25.541798||error||visiting||google searchresults||3||1
2020-12-04 10:01:31.131819||treatment||visit page||https://www.amazon.com/Best-Mens-Shampoo/s?k=Best+Men%27s+Shampoo||2||0
2020-12-04 10:01:34.846747||treatment||visit page||https://www.google.com/search?source=hp&ei=EV3KX8eoDJattQbAz5-QAw&q=gold+belts&oq=gold+belts&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgUIABDJAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6CwgAELEDEIMBEMkDOgUILhCxAzoFCAAQsQM6AgguOggILhDHARCvAVDtA1iEB2CPEGgAcAB4AIAB6weIAYYdkgEFNi0zLjGYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwiH9d6U2bTtAhWWVs0KHcDnBzIQ4dUDCAg&uact=5||0||1
2020-12-04 10:01:38.036836||treatment||visit page||https://www.google.com/search?source=hp&ei=Rl3KX77vOfSP9PwPu5ip2AQ&q=beard+shaving+kit&oq=beard+shaving+kit&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yCAgAEBYQChAeUOMTWNIaYMAiaABwAHgAgAGdBYgB3Q-SAQkyLTEuMC4xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwi-qq-u2bTtAhX0B50JHTtMCksQ4dUDCAg&uact=5||1||0
2020-12-04 10:01:50.162535||error||visiting||google searchresults||1||0
2020-12-04 10:01:56.603947||error||visiting||google searchresults||0||1
2020-12-04 10:01:56.715990||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||2||0
2020-12-04 10:01:56.752581||treatment||visit page||https://www.google.com/search?source=hp&ei=Sl3KX6fvDMG7tQa8gp6IBA&q=shampoo+for+women&oq=shampoo+for+women&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgIIADICCAAyAggAUPcGWI4OYNAaaABwAHgAgAGECYgBzBqSAQk0LTEuMC4xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwinvPav2bTtAhXBXc0KHTyBB0EQ4dUDCAg&uact=5||3||1
2020-12-04 10:01:58.182327||error||visiting||google searchresults||1||0
2020-12-04 10:02:06.207583||error||visiting||google searchresults||1||0
2020-12-04 10:02:08.555833||treatment||google search||shampoo for women||0||1
2020-12-04 10:02:08.615612||error||visiting||google searchresults||0||1
2020-12-04 10:02:20.583501||treatment||google search||manly cocktails||1||0
2020-12-04 10:02:20.671121||error||visiting||google searchresults||1||0
2020-12-04 10:02:39.161760||treatment||visit page||https://www.forbes.com/sites/forbes-personal-shopper/2020/06/22/best-shampoo-for-men-by-hair-type/?sh=517d793f34b3||2||0
2020-12-04 10:02:44.095938||treatment||visit page||https://www.thecut.com/article/best-shampoos.html||0||1
2020-12-04 10:02:45.165335||treatment||visit page||https://www.google.com/search?source=hp&ei=hl3KX9jUF5u0tQbd3aSwDA&q=manly+cocktails&oq=manly+cocktails&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHlDrEVi2GWCFIGgAcAB4AIAB8wSIAY4QkgEHMy0xLjAuM5gBAKABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwjYr8_M2bTtAhUbWs0KHd0uCcYQ4dUDCAg&uact=5||1||0
2020-12-04 10:03:00.615183||error||visiting||google searchresults||3||1
2020-12-04 10:03:05.479223||error||visiting||google searchresults||1||0
2020-12-04 10:03:10.504975||treatment||visit page||https://www.esquire.com/style/grooming/g19504376/best-shampoos-men/||2||0
2020-12-04 10:03:13.775923||error||visiting||google searchresults||1||0
2020-12-04 10:03:17.140770||error||visiting||google searchresults||3||1
2020-12-04 10:03:21.911501||error||visiting||google searchresults||1||0
2020-12-04 10:03:23.231001||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||0||1
2020-12-04 10:03:26.328638||error||visiting||google searchresults||3||1
2020-12-04 10:03:29.918576||event||progress-marker||training-end||1||0
2020-12-04 10:03:35.241518||treatment||google search||beard shaving kit||2||0
2020-12-04 10:03:35.517616||error||visiting||google searchresults||2||0
2020-12-04 10:03:47.184850||treatment||google search||ladies's shaving kit||3||1
2020-12-04 10:03:47.478101||error||visiting||google searchresults||3||1
2020-12-04 10:04:04.585231||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||0||1
2020-12-04 10:04:09.664084||treatment||visit page||https://hellosubscription.com/best-womens-razor-shaving-subscriptions/||3||1
2020-12-04 10:04:14.410916||treatment||visit page||https://www.google.com/search?source=hp&ei=y13KX9upB9KP9PwPqd2J0AM&q=beard+shaving+kit&oq=beard+shaving+kit&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yCAgAEBYQChAeUMMHWMkSYNQoaABwAHgAgAHdDIgBjieSAQk1LTEuMC4yLjGYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwibu7Lt2bTtAhXSB50JHaluAjoQ4dUDCAg&uact=5||2||0
2020-12-04 10:04:25.664952||error||visiting||google searchresults||2||0
2020-12-04 10:04:27.618375||treatment||visit page||https://www.google.com/search?source=hp&ei=fF3KX-n1KJa1tAagmpjABQ&q=shampoo+for+women&oq=shampoo+for+women&gs_lcp=CgZwc3ktYWIQAzIFCAAQyQMyAggAMgIIADICCAAyAggAUP4GWK4MYMwVaABwAHgAgAGNCIgByhmSAQkzLTEuNi0xLjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjpo_7H2bTtAhWWGs0KHSANBlgQ4dUDCAg&uact=5||0||1
2020-12-04 10:04:33.734690||error||visiting||google searchresults||2||0
