2020-12-06 23:27:14.700892||meta||agents||4
2020-12-06 23:27:14.700976||meta||treatnames||A (men's search)@|B (women's search)
2020-12-06 23:27:14.701369||meta||block_id start||0
2020-12-06 23:27:14.701391||meta||assignment||0@|2@|1@|3
2020-12-06 23:27:45.684680||event||progress-marker||training-start||2||0
2020-12-06 23:27:46.018706||event||progress-marker||training-start||1||1
2020-12-06 23:27:46.082843||event||progress-marker||training-start||3||1
2020-12-06 23:27:47.055797||event||progress-marker||training-start||0||0
2020-12-06 23:27:53.257939||treatment||google search||clothes||3||1
2020-12-06 23:27:54.102266||error||visiting||google searchresults||3||1
2020-12-06 23:27:57.539496||treatment||google search||men's clothes||2||0
2020-12-06 23:27:57.821536||treatment||google search||clothes||1||1
2020-12-06 23:27:57.865576||error||visiting||google searchresults||2||0
2020-12-06 23:27:58.065617||error||visiting||google searchresults||1||1
2020-12-06 23:27:59.345932||treatment||google search||men's clothes||0||0
2020-12-06 23:27:59.497310||error||visiting||google searchresults||0||0
2020-12-06 23:28:09.580772||treatment||visit page||https://www.maurices.com/c/clothing/N-10589||3||1
2020-12-06 23:28:24.250360||treatment||visit page||https://www.maurices.com/c/clothing/N-10589||1||1
2020-12-06 23:28:26.989354||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||2||0
2020-12-06 23:28:27.667660||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||0||0
2020-12-06 23:28:40.295238||error||visiting||google searchresults||0||0
2020-12-06 23:28:40.499613||error||visiting||google searchresults||2||0
2020-12-06 23:28:48.403050||error||visiting||google searchresults||0||0
2020-12-06 23:28:48.854354||error||visiting||google searchresults||2||0
2020-12-06 23:28:50.502740||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||3||1
2020-12-06 23:28:55.098293||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||1||1
2020-12-06 23:28:56.476499||error||visiting||google searchresults||0||0
2020-12-06 23:28:56.930221||error||visiting||google searchresults||2||0
2020-12-06 23:29:01.200387||error||visiting||google searchresults||3||1
2020-12-06 23:29:04.157333||error||visiting||google searchresults||1||1
2020-12-06 23:29:11.551743||error||visiting||google searchresults||3||1
2020-12-06 23:29:12.934053||treatment||google search||leather belts||0||0
2020-12-06 23:29:13.057091||error||visiting||google searchresults||0||0
2020-12-06 23:29:14.015809||error||visiting||google searchresults||1||1
2020-12-06 23:29:16.002008||treatment||google search||leather belts||2||0
2020-12-06 23:29:16.263499||error||visiting||google searchresults||2||0
2020-12-06 23:29:26.715312||treatment||google search||gold belts||3||1
2020-12-06 23:29:26.924017||error||visiting||google searchresults||3||1
2020-12-06 23:29:34.333895||treatment||google search||gold belts||1||1
2020-12-06 23:29:34.649087||error||visiting||google searchresults||1||1
2020-12-06 23:29:36.062092||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||0||0
