2020-12-08 09:35:43.088809||meta||agents||4
2020-12-08 09:35:43.088853||meta||treatnames||A (men's search)@|B (women's search)
2020-12-08 09:35:43.089208||meta||block_id start||0
2020-12-08 09:35:43.089236||meta||assignment||3@|1@|0@|2
2020-12-08 09:36:09.241258||event||progress-marker||training-start||3||0
2020-12-08 09:36:14.829892||treatment||google search||men's clothes||3||0
2020-12-08 09:36:15.041802||error||visiting||google searchresults||3||0
2020-12-08 09:36:17.525813||event||progress-marker||training-start||1||0
2020-12-08 09:36:17.940391||event||progress-marker||training-start||0||1
2020-12-08 09:36:18.139547||event||progress-marker||training-start||2||1
2020-12-08 09:36:25.830867||treatment||google search||men's clothes||1||0
2020-12-08 09:36:26.234193||error||visiting||google searchresults||1||0
2020-12-08 09:36:28.776840||treatment||google search||clothes||0||1
2020-12-08 09:36:28.859219||treatment||google search||clothes||2||1
2020-12-08 09:36:29.004933||error||visiting||google searchresults||0||1
2020-12-08 09:36:29.011210||error||visiting||google searchresults||2||1
2020-12-08 09:36:33.561686||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||3||0
2020-12-08 09:36:42.451476||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||1||0
2020-12-08 09:36:49.180654||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||0||1
2020-12-08 09:36:53.363870||error||visiting||google searchresults||3||0
2020-12-08 09:36:56.897538||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||2||1
2020-12-08 09:37:00.531246||error||visiting||google searchresults||1||0
2020-12-08 09:37:01.441233||error||visiting||google searchresults||3||0
2020-12-08 09:37:08.652229||error||visiting||google searchresults||1||0
2020-12-08 09:37:09.511759||error||visiting||google searchresults||3||0
2020-12-08 09:37:16.426406||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||0||1
2020-12-08 09:37:16.730469||error||visiting||google searchresults||1||0
2020-12-08 09:37:27.708199||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||2||1
2020-12-08 09:37:28.816018||treatment||google search||leather belts||3||0
2020-12-08 09:37:28.943367||error||visiting||google searchresults||3||0
2020-12-08 09:37:40.236126||treatment||google search||leather belts||1||0
2020-12-08 09:37:40.329067||error||visiting||google searchresults||1||0
2020-12-08 09:38:03.272155||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||1||0
2020-12-08 09:38:05.062871||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||3||0
2020-12-08 09:38:08.318049||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||0||1
2020-12-08 09:38:20.906349||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||2||1
2020-12-08 09:38:32.267671||treatment||visit page||https://www.belts.com/mens-belts.html||3||0
2020-12-08 09:38:32.900337||treatment||visit page||https://www.belts.com/mens-belts.html||1||0
2020-12-08 09:38:46.614618||treatment||visit page||https://www.google.com/search?source=hp&ei=cp3PX52MHZuE9PwP37uH4A0&q=clothes&oq=clothes&gs_lcp=CgZwc3ktYWIQAzIFCAAQsQMyCwguELEDEMcBEKMCMgUIABCxAzIICAAQsQMQgwEyBQgAEMkDMgIIADIFCAAQsQMyCAgAELEDEIMBMgIIADIFCAAQsQNQkxRYvhdg-iNoAHAAeACAAd8IiAHJF5IBCzItMS41LTEuMC4ymAEAoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwidjdCh277tAhUbAp0JHd_dAdwQ4dUDCAg&uact=5||0||1
2020-12-08 09:38:55.570635||treatment||visit page||https://www.missguidedus.com/clothing||2||1
2020-12-08 09:39:03.676816||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||3||0
2020-12-08 09:39:04.613040||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||1||0
2020-12-08 09:39:17.646513||treatment||google search||gold belts||2||1
2020-12-08 09:39:17.788502||error||visiting||google searchresults||2||1
2020-12-08 09:39:20.278973||treatment||google search||gold belts||0||1
2020-12-08 09:39:20.345078||error||visiting||google searchresults||0||1
2020-12-08 09:39:21.382950||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||3||0
2020-12-08 09:39:21.553598||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||1||0
2020-12-08 09:39:37.376218||treatment||google search||shampoo for dudes||1||0
2020-12-08 09:39:37.456789||error||visiting||google searchresults||1||0
2020-12-08 09:39:38.806957||treatment||google search||shampoo for dudes||3||0
2020-12-08 09:39:40.193228||error||visiting||google searchresults||3||0
2020-12-08 09:39:50.571125||treatment||visit page||https://www.target.com/s/womens+gold+belts?Nao=0||2||1
2020-12-08 09:39:52.291255||treatment||visit page||https://www.google.com/search?source=hp&ei=NJ7PX4O0DuSP9PwPlNaWoAU&q=shampoo+for+dudes&btnK=Google+Search||1||0
2020-12-08 09:39:57.204078||treatment||visit page||https://www.target.com/s/womens+gold+belts?Nao=0||0||1
2020-12-08 09:39:59.752496||error||visiting||google searchresults||2||1
2020-12-08 09:40:06.139861||error||visiting||google searchresults||0||1
2020-12-08 09:40:07.780281||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||3||0
2020-12-08 09:40:08.727989||error||visiting||google searchresults||1||0
2020-12-08 09:40:11.215931||error||visiting||google searchresults||2||1
2020-12-08 09:40:14.923791||error||visiting||google searchresults||0||1
2020-12-08 09:40:16.746019||error||visiting||google searchresults||1||0
2020-12-08 09:40:19.933628||error||visiting||google searchresults||2||1
2020-12-08 09:40:23.395000||error||visiting||google searchresults||0||1
2020-12-08 09:40:24.771467||error||visiting||google searchresults||1||0
2020-12-08 09:40:24.804960||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||3||0
2020-12-08 09:40:31.590949||treatment||google search||shampoo for women||2||1
2020-12-08 09:40:31.670071||error||visiting||google searchresults||2||1
2020-12-08 09:40:38.118827||treatment||google search||beard shaving kit||1||0
2020-12-08 09:40:38.289865||error||visiting||google searchresults||1||0
2020-12-08 09:40:39.120439||treatment||google search||shampoo for women||0||1
2020-12-08 09:40:39.295161||error||visiting||google searchresults||0||1
2020-12-08 09:41:02.067701||treatment||visit page||https://www.headandshoulders.com/en-us/shop-products/shampoos-for-women||0||1
2020-12-08 09:41:02.475797||treatment||visit page||https://theartofshaving.com/grooming-and-skincare-beard-and-moustache||1||0
2020-12-08 09:41:06.019416||treatment||visit page||https://www.forbes.com/sites/forbes-personal-shopper/2020/06/22/best-shampoo-for-men-by-hair-type/?sh=5e63445734b3||3||0
2020-12-08 09:41:11.736026||treatment||visit page||https://www.headandshoulders.com/en-us/shop-products/shampoos-for-women||2||1
2020-12-08 09:41:40.986746||treatment||visit page||https://www.esquire.com/style/grooming/g19504376/best-shampoos-men/||3||0
2020-12-08 09:41:42.150002||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||2||1
