2020-12-08 01:28:01.133268||meta||agents||4
2020-12-08 01:28:01.133321||meta||treatnames||A (men's search)@|B (women's search)
2020-12-08 01:28:01.133860||meta||block_id start||0
2020-12-08 01:28:01.133879||meta||assignment||0@|1@|3@|2
2020-12-08 01:28:32.083392||event||progress-marker||training-start||1||0
2020-12-08 01:28:32.373891||event||progress-marker||training-start||3||1
2020-12-08 01:28:32.435458||event||progress-marker||training-start||0||0
2020-12-08 01:28:32.456016||event||progress-marker||training-start||2||1
2020-12-08 01:28:40.531529||treatment||google search||clothes||3||1
2020-12-08 01:28:40.736860||error||visiting||google searchresults||3||1
2020-12-08 01:28:44.518489||treatment||google search||men's clothes||0||0
2020-12-08 01:28:44.638403||treatment||google search||men's clothes||1||0
2020-12-08 01:28:44.715178||error||visiting||google searchresults||0||0
2020-12-08 01:28:44.719336||error||visiting||google searchresults||1||0
2020-12-08 01:28:45.030289||treatment||google search||clothes||2||1
2020-12-08 01:28:45.217962||error||visiting||google searchresults||2||1
2020-12-08 01:28:56.708276||error||visiting||google searchresults||1||0
2020-12-08 01:29:04.805849||error||visiting||google searchresults||1||0
2020-12-08 01:29:06.777809||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||3||1
2020-12-08 01:29:08.644578||treatment||visit page||https://www.macys.com/shop/mens-clothing?id=1||0||0
2020-12-08 01:29:09.885341||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||2||1
2020-12-08 01:29:12.888088||error||visiting||google searchresults||1||0
2020-12-08 01:29:20.169107||error||visiting||google searchresults||0||0
2020-12-08 01:29:20.982878||error||visiting||google searchresults||1||0
2020-12-08 01:29:28.234533||error||visiting||google searchresults||0||0
2020-12-08 01:29:34.681303||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||3||1
2020-12-08 01:29:35.012631||treatment||google search||leather belts||1||0
2020-12-08 01:29:35.076779||error||visiting||google searchresults||1||0
2020-12-08 01:29:36.321549||error||visiting||google searchresults||0||0
2020-12-08 01:29:41.510045||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||2||1
2020-12-08 01:29:47.553231||treatment||google search||leather belts||0||0
2020-12-08 01:29:47.595748||error||visiting||google searchresults||0||0
2020-12-08 01:30:11.302029||treatment||visit page||https://www.belts.com/mens-belts.html||0||0
2020-12-08 01:30:16.049921||treatment||visit page||https://saddlebackleather.com/leather-tow-belt||1||0
2020-12-08 01:30:26.644981||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||3||1
2020-12-08 01:30:34.041202||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||0||0
2020-12-08 01:30:34.282589||treatment||visit page||https://www.belts.com/mens-belts.html||1||0
2020-12-08 01:30:37.389267||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||2||1
2020-12-08 01:30:41.014408||error||visiting||google searchresults||3||1
2020-12-08 01:30:48.261990||error||visiting||google searchresults||2||1
2020-12-08 01:30:51.865958||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||0||0
2020-12-08 01:30:58.557902||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||1||0
2020-12-08 01:31:05.868617||treatment||google search||gold belts||3||1
2020-12-08 01:31:06.380974||error||visiting||google searchresults||3||1
2020-12-08 01:31:14.981869||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||0||0
2020-12-08 01:31:17.369663||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||1||0
2020-12-08 01:31:18.576400||treatment||google search||gold belts||2||1
2020-12-08 01:31:18.868874||error||visiting||google searchresults||2||1
2020-12-08 01:31:22.702499||treatment||visit page||https://www.target.com/s/womens+gold+belts||3||1
2020-12-08 01:31:36.419390||treatment||google search||shampoo for dudes||1||0
2020-12-08 01:31:36.493352||error||visiting||google searchresults||1||0
2020-12-08 01:31:39.958589||treatment||google search||shampoo for dudes||0||0
2020-12-08 01:31:40.075433||error||visiting||google searchresults||0||0
2020-12-08 01:31:57.546384||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||1||0
2020-12-08 01:31:59.925818||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||0||0
2020-12-08 01:32:12.479328||treatment||visit page||https://www.macys.com/shop/handbags-accessories/belts/Color_normal/Gold?id=27807||3||1
2020-12-08 01:32:15.980384||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||1||0
2020-12-08 01:32:17.977736||error||visiting||google searchresults||2||1
2020-12-08 01:32:19.537137||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||0||0
2020-12-08 01:32:33.781421||error||visiting||google searchresults||2||1
2020-12-08 01:32:47.511154||treatment||visit page||https://www.forbes.com/sites/forbes-personal-shopper/2020/06/22/best-shampoo-for-men-by-hair-type/?sh=32a4393534b3||1||0
2020-12-08 01:32:51.593247||treatment||visit page||https://www.forbes.com/sites/forbes-personal-shopper/2020/06/22/best-shampoo-for-men-by-hair-type/?sh=81452f434b39||0||0
2020-12-08 01:32:56.021385||error||visiting||google searchresults||2||1
2020-12-08 01:33:08.282079||treatment||visit page||https://www.toolsofmen.com/best-shampoo-for-men/||1||0
2020-12-08 01:33:09.031902||treatment||visit page||https://www.google.com/search?source=hp&ei=ryvPX56LAcSF9PwP4ciEmAo&q=gold+belts&btnK=Google+Search||3||1
2020-12-08 01:33:09.355114||error||visiting||google searchresults||2||1
2020-12-08 01:33:13.115830||treatment||visit page||https://www.toolsofmen.com/best-shampoo-for-men/||0||0
2020-12-08 01:33:26.509567||error||visiting||google searchresults||3||1
2020-12-08 01:33:27.793540||treatment||google search||shampoo for women||2||1
2020-12-08 01:33:27.977027||error||visiting||google searchresults||2||1
2020-12-08 01:33:30.773368||treatment||google search||beard shaving kit||0||0
2020-12-08 01:33:30.899718||error||visiting||google searchresults||0||0
2020-12-08 01:33:32.732259||treatment||google search||beard shaving kit||1||0
2020-12-08 01:33:32.836839||error||visiting||google searchresults||1||0
2020-12-08 01:33:41.879735||treatment||google search||shampoo for women||3||1
2020-12-08 01:33:42.128921||error||visiting||google searchresults||3||1
2020-12-08 01:33:48.442279||treatment||visit page||https://www.headandshoulders.com/en-us/shop-products/shampoos-for-women||2||1
2020-12-08 01:33:54.757220||treatment||visit page||https://theartofshaving.com/grooming-and-skincare-beard-and-moustache||1||0
2020-12-08 01:33:58.696943||treatment||visit page||https://theartofshaving.com/grooming-and-skincare-beard-and-moustache||0||0
2020-12-08 01:34:07.477261||treatment||visit page||https://www.headandshoulders.com/en-us/shop-products/shampoos-for-women||3||1
2020-12-08 01:34:18.143422||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||2||1
2020-12-08 01:34:21.934999||treatment||visit page||https://www.target.com/s/mens+shaving+kit||1||0
2020-12-08 01:34:46.476780||treatment||visit page||https://www.groominglounge.com/collections/beard-tools-kits||1||0
2020-12-08 01:34:50.929472||treatment||visit page||https://www.target.com/s/mens+shaving+kit?Nao=0||0||0
2020-12-08 01:34:55.599305||treatment||visit page||https://nymag.com/strategist/article/best-shampoos-dandruff-volumizing-thinning-dry.html||3||1
2020-12-08 01:34:59.918972||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||2||1
2020-12-08 01:35:08.419614||error||visiting||google searchresults||0||0
2020-12-08 01:35:19.999478||error||visiting||google searchresults||0||0
2020-12-08 01:35:24.747708||treatment||visit page||https://www.esquire.com/style/grooming/g29658367/best-beard-grooming-kits/||1||0
2020-12-08 01:35:34.468490||treatment||visit page||https://www.sephora.com/buy/womens-shampoo||2||1
2020-12-08 01:35:37.924901||treatment||visit page||https://www.womenshealthmag.com/beauty/a19947497/best-shampoos-for-thinning-hair/||3||1
2020-12-08 01:35:52.183416||treatment||google search||manly cocktails||0||0
2020-12-08 01:35:52.329037||error||visiting||google searchresults||0||0
2020-12-08 01:35:53.676516||treatment||google search||manly cocktails||1||0
2020-12-08 01:35:53.903249||error||visiting||google searchresults||1||0
2020-12-08 01:36:05.217436||treatment||google search||ladies's shaving kit||2||1
2020-12-08 01:36:05.267269||error||visiting||google searchresults||2||1
2020-12-08 01:36:08.394820||treatment||visit page||https://www.sephora.com/buy/womens-shampoo||3||1
2020-12-08 01:36:15.193806||treatment||visit page||https://nextluxury.com/food-travel/top-50-best-manly-drinks-for-men/||1||0
2020-12-08 01:36:17.309217||treatment||visit page||https://nextluxury.com/food-travel/top-50-best-manly-drinks-for-men/||0||0
2020-12-08 01:36:25.315834||treatment||visit page||https://www.google.com/search?source=hp&ei=4SzPX7_lHKOF9PwPia-j-A4&q=ladies%27s+shaving+kit&btnK=Google+Search||2||1
2020-12-08 01:36:26.118434||treatment||google search||ladies's shaving kit||3||1
2020-12-08 01:36:26.216925||error||visiting||google searchresults||3||1
2020-12-08 01:36:40.112869||error||visiting||google searchresults||2||1
2020-12-08 01:36:44.400779||treatment||visit page||https://www.mankind.co.uk/blog/lifestyle-focus/top-5-manly-cocktails-you-must-try/||1||0
2020-12-08 01:36:47.692216||treatment||visit page||https://www.mankind.co.uk/blog/lifestyle-focus/top-5-manly-cocktails-you-must-try/||0||0
2020-12-08 01:36:48.139918||error||visiting||google searchresults||2||1
2020-12-08 01:36:48.711060||treatment||visit page||https://hellosubscription.com/best-womens-razor-shaving-subscriptions/||3||1
2020-12-08 01:36:58.119566||error||visiting||google searchresults||2||1
2020-12-08 01:37:14.054172||treatment||visit page||https://foodfornet.com/39-manly-mixed-drinks-for-manly-men/||1||0
2020-12-08 01:37:14.906545||treatment||google search||girly cocktails||2||1
2020-12-08 01:37:15.073917||error||visiting||google searchresults||2||1
2020-12-08 01:37:18.485652||treatment||visit page||https://foodfornet.com/39-manly-mixed-drinks-for-manly-men/||0||0
2020-12-08 01:37:22.392883||treatment||visit page||https://www.maggardrazors.com/product/beginners-double-edge-razor-kit-for-women-2-2/||3||1
