2020-12-08 13:10:12.737013||meta||agents||4
2020-12-08 13:10:12.737062||meta||treatnames||A (men's search)@|B (women's search)
2020-12-08 13:10:12.737462||meta||block_id start||0
2020-12-08 13:10:12.737481||meta||assignment||1@|2@|3@|0
2020-12-08 13:10:34.400302||event||progress-marker||training-start||1||0
2020-12-08 13:10:44.911253||event||progress-marker||training-start||2||0
2020-12-08 13:10:45.510616||event||progress-marker||training-start||3||1
2020-12-08 13:10:45.526414||event||progress-marker||training-start||0||1
2020-12-08 13:10:52.801454||treatment||google search||clothes||3||1
2020-12-08 13:10:53.472736||treatment||google search||men's clothes||2||0
2020-12-08 13:10:53.683505||error||visiting||google searchresults||2||0
2020-12-08 13:10:53.688719||error||visiting||google searchresults||3||1
2020-12-08 13:10:55.000044||treatment||google search||men's clothes||1||0
2020-12-08 13:10:55.130191||error||visiting||google searchresults||1||0
2020-12-08 13:10:57.470713||treatment||google search||clothes||0||1
2020-12-08 13:10:57.663176||error||visiting||google searchresults||0||1
2020-12-08 13:11:11.900812||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm||3||1
2020-12-08 13:11:13.680181||treatment||visit page||https://www2.hm.com/en_us/men.html||2||0
2020-12-08 13:11:14.717657||treatment||visit page||https://www2.hm.com/en_us/men.html||1||0
2020-12-08 13:11:33.319285||error||visiting||google searchresults||1||0
2020-12-08 13:11:35.347400||error||visiting||google searchresults||2||0
2020-12-08 13:11:37.535144||treatment||visit page||https://www.target.com/c/women-s-clothing/-/N-5xtcm?Nao=0||0||1
2020-12-08 13:11:41.236964||treatment||visit page||https://www.theguardian.com/fashion/2020/jul/14/fast-fashion-20-ways-stop-buying-new-clothes-fair-wage-wardrobes||3||1
2020-12-08 13:11:41.450291||error||visiting||google searchresults||1||0
2020-12-08 13:11:43.622285||error||visiting||google searchresults||2||0
2020-12-08 13:11:46.756208||error||visiting||google searchresults||0||1
2020-12-08 13:11:49.559647||error||visiting||google searchresults||1||0
2020-12-08 13:11:51.709491||error||visiting||google searchresults||2||0
2020-12-08 13:11:55.160273||error||visiting||google searchresults||0||1
2020-12-08 13:12:03.230055||error||visiting||google searchresults||0||1
2020-12-08 13:12:06.147141||treatment||google search||leather belts||1||0
2020-12-08 13:12:06.291572||error||visiting||google searchresults||1||0
2020-12-08 13:12:07.144300||treatment||google search||leather belts||2||0
2020-12-08 13:12:07.380038||error||visiting||google searchresults||2||0
2020-12-08 13:12:16.882607||treatment||google search||gold belts||0||1
2020-12-08 13:12:17.701085||error||visiting||google searchresults||0||1
2020-12-08 13:12:28.760128||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||1||0
2020-12-08 13:12:35.307302||treatment||visit page||https://www.macys.com/shop/mens-clothing/mens-belts-suspenders/Belt_material/Leather?id=47673||2||0
2020-12-08 13:12:38.921177||treatment||visit page||https://www.nytimes.com/interactive/2019/climate/sustainable-clothing.html||3||1
2020-12-08 13:12:58.953544||treatment||visit page||https://www.belts.com/mens-belts.html||2||0
2020-12-08 13:13:08.398123||treatment||visit page||https://www.belts.com/mens-belts.html||1||0
2020-12-08 13:13:15.193353||treatment||visit page||https://www.target.com/c/belts-women-s-accessories/gold/-/N-56dbkZgup4zc5xkto||0||1
2020-12-08 13:13:30.165144||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||1||0
2020-12-08 13:13:30.868041||treatment||visit page||https://www2.hm.com/en_us/women/new-arrivals/clothes.html||3||1
2020-12-08 13:13:34.422074||treatment||visit page||https://www.beltoutlet.com/collections/mens-leather-belts||2||0
2020-12-08 13:13:45.540021||treatment||visit page||https://www.macys.com/shop/handbags-accessories/belts/Color_normal/Gold?id=27807||0||1
2020-12-08 13:13:50.614776||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||1||0
2020-12-08 13:13:52.652758||treatment||visit page||https://www.nordstrom.com/browse/men/accessories/belts/filter/leather-genuine~8000485_8000502||2||0
2020-12-08 13:14:10.875200||treatment||google search||shampoo for dudes||2||0
2020-12-08 13:14:11.899749||error||visiting||google searchresults||2||0
2020-12-08 13:14:12.044758||treatment||google search||shampoo for dudes||1||0
2020-12-08 13:14:12.172122||error||visiting||google searchresults||1||0
2020-12-08 13:14:15.931883||treatment||google search||gold belts||3||1
2020-12-08 13:14:19.184214||error||visiting||google searchresults||3||1
2020-12-08 13:14:20.814531||treatment||visit page||https://www.etsy.com/market/gold_belt||0||1
2020-12-08 13:14:36.257293||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||1||0
2020-12-08 13:14:37.665346||treatment||visit page||https://www.thetrendspotter.net/best-shampoos-for-men/||2||0
2020-12-08 13:15:02.394630||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||1||0
2020-12-08 13:15:05.025877||treatment||visit page||https://gearmoose.com/best-shampoo-for-men/||2||0
2020-12-08 13:15:10.588966||error||visiting||google searchresults||0||1
2020-12-08 13:15:11.314665||error||visiting||google searchresults||3||1
2020-12-08 13:15:21.474276||error||visiting||google searchresults||3||1
